image_name,source_explanation,source_sentence_number,source_sentence,target_explanation,target_sentence_number,target_sentence,similarity,nli_label,nli_score
documerica_0030.jpg,126,7,"The sky is clear, hinting at a",127,5,"The sky is overcast, casting a muted light over the scene.",0.6024242,contradiction,0.9998931884765625
documerica_0030.jpg,128,4,"In the background, there is a small island covered with vegetation, and further in the distance, snow-capped mountains rise against the horizon under a clear sky.",129,4,"The background features a calm water surface, a distant landmass with what appears to be snow-capped mountains, and an overcast sky.",0.65583014,contradiction,0.9966369867324829
documerica_0030.jpg,125,4,"In the background, there is a small island or peninsula covered with trees, and further back, snow-capped mountains rise against a clear sky.",129,4,"The background features a calm water surface, a distant landmass with what appears to be snow-capped mountains, and an overcast sky.",0.625987,contradiction,0.9948925971984863
documerica_0030.jpg,126,1,"The image shows a group of four individuals in a small, flat-bottomed boat on a body of water, likely a lake.",129,1,"The image shows three individuals seated in a small rowboat at the edge of a body of water, possibly a lake.",0.76615083,contradiction,0.9928532242774963
documerica_0030.jpg,127,1,"The image depicts four individuals seated in a small, open rowboat on a calm body of water near a shoreline.",129,1,"The image shows three individuals seated in a small rowboat at the edge of a body of water, possibly a lake.",0.864815,contradiction,0.9895688891410828
documerica_0030.jpg,125,1,"The image shows a group of four individuals in a small, flat-bottomed boat on the edge of a body of water, possibly a lake or river.",129,1,"The image shows three individuals seated in a small rowboat at the edge of a body of water, possibly a lake.",0.75340694,contradiction,0.9856314659118652
documerica_0030.jpg,128,1,"The image depicts a small group of four individuals seated in a small, flat-bottomed rowboat on a body of water near a sandy shore.",129,1,"The image shows three individuals seated in a small rowboat at the edge of a body of water, possibly a lake.",0.82696176,contradiction,0.982871413230896
documerica_0030.jpg,126,2,"The boat is rowed by one person at the back, while others appear to be seated or standing inside.",127,1,"The image depicts four individuals seated in a small, open rowboat on a calm body of water near a shoreline.",0.6095963,contradiction,0.7589576840400696
documerica_0039.jpg,171,1,"The image shows a utility vehicle parked on a paved road, likely used for waste management or environmental services.",172,1,"The image appears to show a utility vehicle parked on a dirt road next to a small wooden structure, possibly a shed or outbuilding.",0.82244,contradiction,0.9997783303260803
documerica_0039.jpg,170,2,"Attached to the truck are two large green cylindrical containers, which may be used for waste collection or storage.",172,3,"Two cylindrical containers, likely for garbage or recycling, are positioned near the vehicle on the ground, with one showing the number ""94"" on its side.",0.71050286,contradiction,0.9995773434638977
documerica_0039.jpg,171,2,Two cylindrical trash containers are secured to the side of the truck.,172,3,"Two cylindrical containers, likely for garbage or recycling, are positioned near the vehicle on the ground, with one showing the number ""94"" on its side.",0.65407395,contradiction,0.9984800219535828
documerica_0039.jpg,172,1,"The image appears to show a utility vehicle parked on a dirt road next to a small wooden structure, possibly a shed or outbuilding.",173,1,"The image depicts a scene likely from a rural or suburban area, with a white utility vehicle parked on a paved street.",0.80663574,contradiction,0.9982700347900391
documerica_0039.jpg,172,3,"Two cylindrical containers, likely for garbage or recycling, are positioned near the vehicle on the ground, with one showing the number ""94"" on its side.",174,3,"Attached to the back of the truck are two green cylindrical containers, possibly used for waste collection or recycling.",0.75031316,contradiction,0.9981105327606201
documerica_0039.jpg,173,2,"Two green cylindrical trash bins are positioned near the front of the vehicle, suggesting waste collection activity.",174,3,"Attached to the back of the truck are two green cylindrical containers, possibly used for waste collection or recycling.",0.67676556,contradiction,0.9972859621047974
documerica_0039.jpg,173,1,"The image depicts a scene likely from a rural or suburban area, with a white utility vehicle parked on a paved street.",174,2,"In the foreground, there is a large, white truck with a prominent cab, parked on a dirt or gravel surface.",0.66916126,contradiction,0.9936193823814392
documerica_0039.jpg,170,1,The image depicts a truck parked on a dusty road near a small building that appears to be a shed.,171,1,"The image shows a utility vehicle parked on a paved road, likely used for waste management or environmental services.",0.6741067,contradiction,0.9156737327575684
documerica_0039.jpg,172,4,"A person, partially obscured by the vehicle's structure, seems to be standing inside the cabin, though their activity is not clear.",174,4,"A person appears to be seated inside the cab of the truck, although details about their actions are unclear due to the distance and angle.",0.6603745,contradiction,0.5771372318267822
documerica_0063.jpg,290,4,"The setting appears to be outdoors, possibly at a governmental or official site given the presence of the EPA flag.",294,4,The setting appears to be an outdoor location with no other structures or objects in view besides the flagpole.,0.6442713,contradiction,0.8898610472679138
documerica_0071.jpg,330,1,"The image shows a single-story building with a white exterior and brown roof, featuring a prominent gazebo-like structure on top.",334,1,"The image shows a large, two-story building with a white exterior and a brown roof, featuring multiple windows and a balcony at the front.",0.7987881,contradiction,0.999954342842102
documerica_0071.jpg,330,1,"The image shows a single-story building with a white exterior and brown roof, featuring a prominent gazebo-like structure on top.",331,1,"The image shows a large, white, multi-story building with a flat roof and a small tower-like structure on one side.",0.7821828,contradiction,0.9999496936798096
documerica_0071.jpg,330,1,"The image shows a single-story building with a white exterior and brown roof, featuring a prominent gazebo-like structure on top.",333,1,"The image depicts a large white building with a flat roof and a prominent cupola, situated on a grassy area.",0.7090008,contradiction,0.9998936653137207
documerica_0071.jpg,330,1,"The image shows a single-story building with a white exterior and brown roof, featuring a prominent gazebo-like structure on top.",332,1,"The image depicts a large, two-story white building with a brown roof, possibly a historic structure given its design and setting.",0.81241405,contradiction,0.999784529209137
documerica_0071.jpg,330,1,"The image shows a single-story building with a white exterior and brown roof, featuring a prominent gazebo-like structure on top.",333,2,The structure appears to have a two-story design with multiple windows and a covered porch at the entrance.,0.6816229,contradiction,0.9996825456619263
documerica_0071.jpg,332,3,"A small tree stands near the entrance, partially obscuring part of the view, while other trees and shrubs surround the area, indicating a landscaped environment.",333,4,"The surrounding environment includes a mix of open grassland and some scattered vegetation, including a bush and a tree to the right.",0.60192525,contradiction,0.998776376247406
documerica_0071.jpg,332,1,"The image depicts a large, two-story white building with a brown roof, possibly a historic structure given its design and setting.",333,1,"The image depicts a large white building with a flat roof and a prominent cupola, situated on a grassy area.",0.73960346,contradiction,0.9978082776069641
documerica_0071.jpg,330,3,"The building is surrounded by a large grassy area with scattered trees, including a palm tree near the structure, suggesting a warm climate.",334,2,A small garden area with shrubs and palm trees surrounds the structure.,0.674676,contradiction,0.9367004632949829
documerica_0071.jpg,331,1,"The image shows a large, white, multi-story building with a flat roof and a small tower-like structure on one side.",334,1,"The image shows a large, two-story building with a white exterior and a brown roof, featuring multiple windows and a balcony at the front.",0.82295287,contradiction,0.8969228267669678
